Deyeuxia erythrostachya var. neuquenensis	ARG(MEN, NEU, RNE) / CHL(LBO, MAU, BIO, LLA, MAG, RME)
Deyeuxia fiebrigii	ARG(JUJ, TUC)
Deyeuxia filifolia	ARG(CAT, JUJ, SAL, TUC)
Deyeuxia hackelii	ARG(CAT, JUJ, LRI, SAL, TUC)
Deyeuxia heterophylla	ARG(JUJ, LRI, SAL) / CHL(TAR)
Deyeuxia hieronymi	ARG(COR, JUJ, LRI, SAL, SLU, TUC)
Deyeuxia lagurus	ARG(CAT, JUJ, SAL, TUC)
Deyeuxia malamalensis	ARG(CAT, JUJ, SAL, TUC)
Deyeuxia minima	ARG(JUJ, SAL)
Deyeuxia orbignyana	ARG(JUJ)
Deyeuxia patagonica	ARG(CHU) / CHL(ARA)
Deyeuxia poaeoides	ARG(CHU, RNE, SCR, TDF) / CHL(MAG)
Deyeuxia polygama	ARG(CAT, JUJ, SAL, TUC)
Deyeuxia recta	ARG(JUJ)
Deyeuxia reitzii	BRA(SCA)
Deyeuxia rigescens	ARG(CAT, JUJ, LRI, SAL, SJU, TUC) / CHL(TAR, ATA)
Deyeuxia rigida	ARG(JUJ, SAL, SCR, TDF) / CHL(MAG)
Deyeuxia rupestris var. rupestris	ARG(ERI) / BRA(PAR, RGS, SCA) / URY(CAS, MON, RIV, ROC, TAC, TYT)
Deyeuxia rupestris f. pilosa	BRA(PAR, RGS, SCA)
Deyeuxia rupestris var. minor	BRA(RGS)
Deyeuxia sclerantha	ARG(CAT, JUJ, SAL, TUC)
Deyeuxia setiflora	ARG(JUJ, SAL)
Deyeuxia spicigera var. cephalotes	ARG(LRI)
Deyeuxia spicigera var. spicigera	ARG(CAT, JUJ, LRI, SAL, TUC)
Deyeuxia suka	ARG(SCR, TDF) / CHL(LLA, MAG)
Deyeuxia tarmensis var. macrochaeta	ARG(JUJ, SAL)
Deyeuxia trichodonta var. trichodonta	ARG(JUJ, LRI, SAL)
Deyeuxia trichodonta var. hirsuta	ARG(SAL)
Deyeuxia velutina var. nardifolia	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(TAR, ANT, ATA)
Deyeuxia velutina var. velutina	ARG(CAT, LRI, MEN, NEU, RNE, SJU, TUC) / CHL(TAR, ANT, ATA, COQ, LLA, RME)
Deyeuxia vicunarum	ARG(CAT, JUJ, SAL, TUC) / CHL(TAR)
Deyeuxia violacea var. violacea	ARG(JUJ, SAL)
Deyeuxia violacea var. puberula	ARG(JUJ, SAL, TUC)
Deyeuxia viridiflavescens var. montevidensis	ARG(BAI, CAT, CHA, COR, COS, DFE, ERI, FOR, JUJ, LPA, MEN, MIS, SAL, SLU, SFE, SDE, TUC) / BRA(PAR, RGS, SCA) / CHL(BIO) / PRY(APA, APY, BOQ, CEN, CON, GUA, ITA, MIE, PAI, PHA) / URY(ART, CAS, CLA, COL, DUR, FLO, FLA, LAV, MAL, MON, RNO, RIV, ROC, SAO, SJO, SOR, TAC, TYT)
Deyeuxia viridiflavescens var. viridiflavescens	ARG(BAI, COR, COS, ERI, FOR, JUJ, LRI, MIS, SAL, SFE, TUC) / BRA(PAR, RGS, SCA) / CHL(BIO) / PRY(APA, AMA, CAU, CAN, CEN, CON, MIE, PAI) / URY(COL, FLO, FLA, MAL, MON, PAY, ROC, TAC)
Deyeuxia viridis	ARG(CHU, NEU, RNE) / CHL(BIO, ARA, LLA, MAG)
Dianthus armeria	ARG(CHU) / CHL(ARA)
Dianthus deltoides	ARG(NEU, RNE)
Diastatea micrantha	ARG(JUJ)
Diatenopteryx sorbifolia	ARG(COS, JUJ, MIS, SAL) / BRA(PAR, RGS, SCA) / PRY(APA, AMA, CAA, CAN, CEN, COA, GUA, ITA, PAI, SPE)
Dicella bracteosa	BRA(PAR, RGS, SCA)
Dicella nucifera	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(APA, CAU, CAA, CEN, COA, GUA, PAI, SPE)
Dichaea anchorifera	BRA(PAR, SCA)
Dichaea australis	BRA(PAR, SCA)
Dichaea brevicaulis	BRA(PAR)
Dichaea bryophyla	BRA(PAR)
Dichaea cogniauxiana	BRA(PAR, SCA)
Dichaea graminioides	BRA(PAR)
Dichaea pendula	BRA(PAR, RGS, SCA)
Dichaea trulla	BRA(PAR)
Dichanthelium hebotes	BRA(PAR, RGS, SCA)
Dichanthelium sabulorum var. sabulorum	ARG(BAI, CHA, COS, ERI, MIS) / BRA(PAR, RGS, SCA) / CHL(ARA) / PRY(COA, GUA, PAI) / URY(CAS, CLA, COL, LAV, MAL, MON, PAY, RNO, RIV, ROC, SAO, SJO, TAC)
Dichanthelium sabulorum var. polycladum	ARG(BAI, COR, COS, DFE, ERI, FOR, JUJ, MIS, SAL) / BRA(PAR, RGS, SCA) / CHL(MAU, BIO) / PRY(CAU, CAA, GUA, ITA, PAI, SPE) / URY(CLA, FLO, FLA, LAV, MAL, MON, PAY, RNO, RIV, ROC, SAO, SJO, SOR, TAC, TYT)
Dichanthelium sabulorum var. cordatum	ARG(MIS) / BRA(PAR, RGS, SCA)
Dichanthelium sciurotoides	BRA(PAR, SCA)
Dichanthelium stigmosum	BRA(PAR, SCA)
Dichanthelium superatum	BRA(PAR, RGS, SCA)
Dichanthelium surrectum	BRA(PAR, RGS, SCA) / PRY(CAU)
Dichanthium annulatum	ARG(SFE)
Dichanthium aristatum	ARG(CHA, COS, FOR) / PRY(PHA)
Dichondra argentea	ARG(JUJ, SAL, SLU)
Dichondra macrocalyx	ARG(CHA, COR, COS, ERI, MIS, TUC) / BRA(PAR, SCA)
Dichondra microcalyx	ARG(BAI, CAT, CHA, COR, COS, DFE, ERI, FOR, JUJ, MIS, RNE, SAL, SJU, SDE, TUC) / BRA(PAR, RGS, SCA) / CHL(COQ, ARA) / PRY(COA, GUA, ÑEE) / URY(CLA, DUR, FLA, MON, ROC)
Dichondra sericea var. sericea	ARG(BAI, CHA, COR, COS, FOR, MIS, SFE, TUC) / BRA(RGS) / CHL(ANT, ATA, COQ, VAL, LBO, MAU, BIO, ARA, LLA, RME, JFE) / PRY(CEN, COA, PAI) / URY(CLA, LAV, MAL, MON, ROC, SOR)
