Lecanophora heterophylla	ARG(CAT, COR, LPA, LRI, MEN, NEU, RNE, SJU, SLU, TUC)
Lecanophora jarae	ARG(CAT)
Lecanophora ruiz-lealii	ARG(RNE)
Lecanophora subacaulis	ARG(SCR) / CHL(MAG)
Leersia hexandra	ARG(BAI, CHA, COR, COS, DFE, ERI, FOR, JUJ, LPA, MIS, SAL, SLU, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APY, BOQ, PHA) / URY(DUR, ROC)
Leersia ligularis var. grandiflora	ARG(FOR, MIS) / BRA(PAR, RGS, SCA) / PRY(GUA) / URY(MON)
Leersia virginica	BRA(PAR, RGS, SCA)
Legenere valdiviana	ARG(CHU) / CHL(LLA)
Legrandia concinna	CHL(MAU, BIO)
Leiothrix arechavaletae	URY(MON, RIV)
Leiothrix flavescens var. flavescens	BRA(PAR, RGS, SCA)
Leiothrix flavescens var. polystemma	BRA(PAR)
Lellingeria apiculata	BRA(PAR)
Lellingeria brevistipes	BRA(PAR, RGS, SCA)
Lellingeria ciliolepis	ARG(SAL)
Lellingeria depressa	BRA(PAR, SCA)
Lellingeria itatimensis	BRA(PAR, RGS)
Lellingeria tamandarei	BRA(SCA)
Lemna aequinoctialis	ARG(CHA, CHU, COR, COS, ERI, FOR, JUJ, LRI, MEN, MIS, SAL, SJU, SFE, SDE, TUC) / BRA(SCA) / PRY(APY, CAU, ITA, ÑEE, PHA, SPE)
Lemna disperma	ARG(SFE)
Lemna gibba	ARG(BAI, CAT, CHA, CHU, COR, COS, ERI, FOR, JUJ, LPA, LRI, MEN, RNE, SAL, SCR, SDE, SFE, SJU, SLU, TUC) / BRA(RGS) / CHL(TAR, ANT, COQ, VAL, LBO, BIO, LLA, RME) / PRY(APY, PHA) / URY(CAS, MON, TYT)
Lemna minuta	ARG(BAI, CAT, CHA, CHU, COR, COS, ERI, FOR, JUJ, LRI, MEN, NEU, RNE, SAL, SCR, SDE, SFE, SJU, TUC) / BRA(RGS, SCA) / CHL(TAR, ANT, COQ, VAL, LBO, MAU, BIO, ARA, LLA, RME) / PRY(APY, CEN, COA, PAI) / URY(CAS, FLA, MON, ROC, SJO, TYT)
Lemna valdiviana	ARG(BAI, CHA, CHU, COR, COS, ERI, FOR, JUJ, LPA, MEN, MIS, NEU, SAL, SCR, SFE, TUC) / BRA(RGS, SCA) / CHL(TAR, VAL, MAU, ARA, LLA, RME) / PRY(CEN) / URY(CAS, MON, ROC, SJO, TYT)
Lenzia chamaepitys	ARG(JUJ, LRI, SJU) / CHL(ANT, ATA, COQ)
